run,true # of comms,louvain # of pred comms,louvain accuracy,louvain ari,louvain nmi,infomap # of pred comms,infomap accuracy,infomap ari,infomap nmi,rbpots # of pred comms,rbpots accuracy,rbpots ari,rbpots nmi
1,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
2,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
3,14,14,1.0,1.0,1.0,1,0.098,0.0,0.0,14,1.0,1.0,1.0
4,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
5,15,15,1.0,1.0,1.0,1,0.098,0.0,0.0,15,1.0,1.0,1.0
6,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
7,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
8,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
9,14,14,1.0,1.0,1.0,1,0.096,0.0,0.0,14,1.0,1.0,1.0
10,14,14,1.0,1.0,1.0,1,0.094,0.0,0.0,14,1.0,1.0,1.0
11,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
12,16,16,1.0,1.0,1.0,15,0.952,0.9283680600069041,0.9827671622231596,16,1.0,1.0,1.0
13,15,14,0.954,0.9324298792576237,0.9827124190328479,1,0.1,0.0,0.0,15,1.0,1.0,1.0
14,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
15,17,17,1.0,1.0,1.0,16,0.944,0.9242952495670059,0.9828361592337695,17,1.0,1.0,1.0
16,14,14,1.0,1.0,1.0,1,0.098,0.0,0.0,14,1.0,1.0,1.0
17,14,14,1.0,1.0,1.0,1,0.104,0.0,0.0,14,1.0,1.0,1.0
18,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
19,14,14,1.0,1.0,1.0,1,0.11,0.0,0.0,14,1.0,1.0,1.0
20,14,13,0.95,0.9380081042799232,0.9824364381510603,1,0.1,0.0,0.0,14,1.0,1.0,1.0
21,15,15,1.0,1.0,1.0,1,0.092,0.0,0.0,15,1.0,1.0,1.0
22,14,14,1.0,1.0,1.0,1,0.1,0.0,0.0,14,1.0,1.0,1.0
23,15,15,1.0,1.0,1.0,1,0.126,0.0,0.0,15,1.0,1.0,1.0
24,15,14,0.944,0.9239615637066907,0.9813677625575027,15,1.0,1.0,1.0,15,1.0,1.0,1.0
25,15,15,1.0,1.0,1.0,1,0.1,0.0,0.0,15,1.0,1.0,1.0
26,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
27,15,14,0.952,0.9475598998130792,0.9844585438693729,15,1.0,1.0,1.0,15,1.0,1.0,1.0
28,15,15,1.0,1.0,1.0,1,0.112,0.0,0.0,15,1.0,1.0,1.0
29,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,15,0.96,0.9747896604878007,0.9897247812982588
30,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
31,15,15,1.0,1.0,1.0,1,0.096,0.0,0.0,15,1.0,1.0,1.0
32,14,14,1.0,1.0,1.0,1,0.1,0.0,0.0,14,1.0,1.0,1.0
33,14,14,1.0,1.0,1.0,1,0.1,0.0,0.0,14,1.0,1.0,1.0
34,14,14,1.0,1.0,1.0,1,0.098,0.0,0.0,14,1.0,1.0,1.0
35,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
36,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
37,15,15,1.0,1.0,1.0,1,0.104,0.0,0.0,15,1.0,1.0,1.0
38,12,12,1.0,1.0,1.0,1,0.1,0.0,0.0,12,1.0,1.0,1.0
39,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
40,14,14,1.0,1.0,1.0,1,0.094,0.0,0.0,14,1.0,1.0,1.0
41,15,15,1.0,1.0,1.0,1,0.1,0.0,0.0,15,1.0,1.0,1.0
42,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
43,14,14,1.0,1.0,1.0,1,0.098,0.0,0.0,14,1.0,1.0,1.0
44,14,14,1.0,1.0,1.0,1,0.1,0.0,0.0,14,1.0,1.0,1.0
45,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
46,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
47,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
48,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
49,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
50,15,15,1.0,1.0,1.0,1,0.1,0.0,0.0,15,1.0,1.0,1.0
51,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
52,14,14,1.0,1.0,1.0,1,0.092,0.0,0.0,14,1.0,1.0,1.0
53,14,14,1.0,1.0,1.0,1,0.1,0.0,0.0,14,1.0,1.0,1.0
54,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
55,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
56,13,13,1.0,1.0,1.0,1,0.096,0.0,0.0,13,1.0,1.0,1.0
57,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
58,14,14,1.0,1.0,1.0,1,0.13,0.0,0.0,14,1.0,1.0,1.0
59,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
60,13,13,1.0,1.0,1.0,1,0.1,0.0,0.0,13,1.0,1.0,1.0
61,14,13,0.958,0.9619677285803027,0.9858713887077222,1,0.112,0.0,0.0,14,1.0,1.0,1.0
62,15,15,1.0,1.0,1.0,1,0.096,0.0,0.0,15,1.0,1.0,1.0
63,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
64,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
65,15,14,0.952,0.950147142998132,0.9848697427048881,15,1.0,1.0,1.0,15,1.0,1.0,1.0
66,15,15,1.0,1.0,1.0,1,0.098,0.0,0.0,15,1.0,1.0,1.0
67,17,17,1.0,1.0,1.0,17,1.0,1.0,1.0,17,1.0,1.0,1.0
68,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
69,14,14,1.0,1.0,1.0,1,0.098,0.0,0.0,14,1.0,1.0,1.0
70,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
71,15,15,1.0,1.0,1.0,1,0.096,0.0,0.0,15,1.0,1.0,1.0
72,13,13,1.0,1.0,1.0,1,0.098,0.0,0.0,13,1.0,1.0,1.0
73,14,14,1.0,1.0,1.0,1,0.092,0.0,0.0,14,1.0,1.0,1.0
74,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
75,12,12,1.0,1.0,1.0,1,0.1,0.0,0.0,12,1.0,1.0,1.0
76,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
77,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
78,14,14,1.0,1.0,1.0,1,0.116,0.0,0.0,14,1.0,1.0,1.0
79,14,14,1.0,1.0,1.0,1,0.096,0.0,0.0,14,1.0,1.0,1.0
80,15,15,1.0,1.0,1.0,1,0.094,0.0,0.0,15,1.0,1.0,1.0
81,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
82,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
83,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
84,14,14,1.0,1.0,1.0,1,0.094,0.0,0.0,14,1.0,1.0,1.0
85,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
86,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
87,15,15,1.0,1.0,1.0,1,0.098,0.0,0.0,15,1.0,1.0,1.0
88,14,14,1.0,1.0,1.0,1,0.1,0.0,0.0,14,1.0,1.0,1.0
89,14,14,1.0,1.0,1.0,1,0.1,0.0,0.0,14,1.0,1.0,1.0
90,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
91,14,14,1.0,1.0,1.0,1,0.098,0.0,0.0,14,1.0,1.0,1.0
92,14,14,1.0,1.0,1.0,1,0.098,0.0,0.0,14,1.0,1.0,1.0
93,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
94,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
95,14,14,1.0,1.0,1.0,1,0.118,0.0,0.0,14,1.0,1.0,1.0
96,15,15,1.0,1.0,1.0,15,1.0,1.0,1.0,15,1.0,1.0,1.0
97,14,14,1.0,1.0,1.0,1,0.098,0.0,0.0,14,1.0,1.0,1.0
98,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
99,16,16,1.0,1.0,1.0,16,1.0,1.0,1.0,16,1.0,1.0,1.0
100,16,16,1.0,1.0,1.0,1,0.094,0.0,0.0,16,1.0,1.0,1.0
